Object ID,Identification,Extracted Text,Summary
object_0,"This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00)",,"Object ID: object_0 Identified as: This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00) Extracted text:"
object_1,"This image likely contains a keyboard (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), motorcycle (0.00)",,"Object ID: object_1 Identified as: This image likely contains a keyboard (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), motorcycle (0.00) Extracted text:"
object_2,"This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00)",,"Object ID: object_2 Identified as: This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00) Extracted text:"
object_3,"This image likely contains a bird (confidence: 0.92). Other possibilities include person (0.08), knife (0.00), car (0.00)",,"Object ID: object_3 Identified as: This image likely contains a bird (confidence: 0.92). Other possibilities include person (0.08), knife (0.00), car (0.00) Extracted text:"
object_4,"This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), knife (0.00), car (0.00)",,"Object ID: object_4 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), knife (0.00), car (0.00) Extracted text:"
object_5,"This image likely contains a person (confidence: 0.85). Other possibilities include bird (0.15), knife (0.00), car (0.00)",,"Object ID: object_5 Identified as: This image likely contains a person (confidence: 0.85). Other possibilities include bird (0.15), knife (0.00), car (0.00) Extracted text:"
object_6,"This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), bicycle (0.00), car (0.00)",,"Object ID: object_6 Identified as: This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), bicycle (0.00), car (0.00) Extracted text:"
object_7,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), bird (0.00), car (0.00)",,"Object ID: object_7 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), bird (0.00), car (0.00) Extracted text:"
object_8,"This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), bicycle (0.00), car (0.00)",,"Object ID: object_8 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), bicycle (0.00), car (0.00) Extracted text:"
object_9,"This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), bicycle (0.00), car (0.00)",,"Object ID: object_9 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), bicycle (0.00), car (0.00) Extracted text:"
object_10,"This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_10 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_11,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), dog (0.00), horse (0.00)",7x,"Object ID: object_11 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), dog (0.00), horse (0.00) Extracted text: 7x"
object_12,"This image likely contains a bird (confidence: 0.91). Other possibilities include person (0.09), bicycle (0.00), car (0.00)",,"Object ID: object_12 Identified as: This image likely contains a bird (confidence: 0.91). Other possibilities include person (0.09), bicycle (0.00), car (0.00) Extracted text:"
object_13,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",J3y3_qawWua,"Object ID: object_13 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text: J3y3_qawWua"
object_14,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_14 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text:"
