Object ID,Identification,Extracted Text,Summary
object_0,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_0 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_1,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_1 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_2,"This image likely contains a person (confidence: 0.99). Other possibilities include knife (0.01), book (0.00), truck (0.00)","7,i 3","Object ID: object_2 Identified as: This image likely contains a person (confidence: 0.99). Other possibilities include knife (0.01), book (0.00), truck (0.00) Extracted text: 7,i 3"
object_3,"This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_3 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_4,"This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_4 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_5,"This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_5 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_6,"This image likely contains a knife (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",""">","Object ID: object_6 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text: "">"
object_7,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",Ps9st,"Object ID: object_7 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text: Ps9st"
object_8,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00)",7 ,"Object ID: object_8 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00) Extracted text: 7"
object_9,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",7+ D  -zssj,"Object ID: object_9 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text: 7+ D  -zssj"
object_10,"This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",) V,"Object ID: object_10 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text: ) V"
object_11,"This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",J0 *vj,"Object ID: object_11 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text: J0 *vj"
object_12,"This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), knife (0.00), motorcycle (0.00)",tA,"Object ID: object_12 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include book (0.00), knife (0.00), motorcycle (0.00) Extracted text: tA"
object_13,"This image likely contains a book (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)","""Tn@C","Object ID: object_13 Identified as: This image likely contains a book (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text: ""Tn@C"
object_14,"This image likely contains a book (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",J 7,"Object ID: object_14 Identified as: This image likely contains a book (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text: J 7"
