Object ID,Identification,Extracted Text,Summary
object_0,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00)",PPZp,"Object ID: object_0 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00) Extracted text: PPZp"
object_1,"This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00)",,"Object ID: object_1 Identified as: This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00) Extracted text:"
object_2,"This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00)",,"Object ID: object_2 Identified as: This image likely contains a bird (confidence: 1.00). Other possibilities include person (0.00), knife (0.00), car (0.00) Extracted text:"
object_3,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_3 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_4,"This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",Ka,"Object ID: object_4 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text: Ka"
object_5,"This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), knife (0.00), car (0.00)",,"Object ID: object_5 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), knife (0.00), car (0.00) Extracted text:"
object_6,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), keyboard (0.00), motorcycle (0.00)",,"Object ID: object_6 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), keyboard (0.00), motorcycle (0.00) Extracted text:"
object_7,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00)",Tp,"Object ID: object_7 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00) Extracted text: Tp"
object_8,"This image likely contains a knife (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_8 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_9,"This image likely contains a knife (confidence: 1.00). Other possibilities include keyboard (0.00), person (0.00), motorcycle (0.00)",bi2I,"Object ID: object_9 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include keyboard (0.00), person (0.00), motorcycle (0.00) Extracted text: bi2I"
object_10,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00)",[i9,"Object ID: object_10 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00) Extracted text: [i9"
object_11,"This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_11 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bicycle (0.00), car (0.00), motorcycle (0.00) Extracted text:"
object_12,"This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00)",aB,"Object ID: object_12 Identified as: This image likely contains a knife (confidence: 1.00). Other possibilities include person (0.00), car (0.00), motorcycle (0.00) Extracted text: aB"
object_13,"This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), knife (0.00), dog (0.00)",,"Object ID: object_13 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include bird (0.00), knife (0.00), dog (0.00) Extracted text:"
object_14,"This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00)",,"Object ID: object_14 Identified as: This image likely contains a person (confidence: 1.00). Other possibilities include knife (0.00), car (0.00), motorcycle (0.00) Extracted text:"
